id,name,orig_name,Unicode,straight_position,inverted_position
11,Иса,Isaz,U+16C1,"У этой руны только одно положение. Традиционно в раскладах ее принято трактовать в смысле приостановки деятельности. Более подробное значение можно понять, разбирая сочетания скандинавских рун в конкретном гадании. Иса рекомендует в данный период не начинать дело, подождать наступления более подходящего времени. Пренебрежение этим советом может привести к тому, что вы не получите тех результатов, на которые рассчитываете, что скажется на будущих успехах.",
12,Йера,Jēra,U+16C3,"В описании скандинавских рун значение Йеры связано с хорошим урожаем. У нее только одно прямое положение, и оно имеет положительный смысл. Основное, с чем ассоциируется этот символ, – получение достойного вознаграждения за свой труд. В данном случае поощрение может быть физическим (деньги, подарки) или нематериальным, но тоже важным. Речь может идти о расположении влиятельных лиц или неожиданной удаче в самый нужный момент. Но высокий урожай можно получить только благодаря усилиям и существенным вливаниям в дело.

Требуются собранность и все внимание к выполнению своих обязанностей. Нужно четко осознавать, когда можно притормозить, а когда требуется ускорение. Успех ждет того, кто чувствует уверенность в себе, готов отстаивать собственное мнение и делать все возможное (вместе с Турисаз особенно).

Часто Йеру трактуют в качестве символа и показателя справедливости. Это означает, что, когда в гадании выпадает данный знак, человек должен усвоить, что его благополучие и безопасность полностью зависят от соблюдения им лично государственных законов и норм морали. Если руна оказалась крайней в раскладе, это указывает на то, что, возможно, проблему придется решать с помощью юристов.",
13,Эйваз,Ēehaz,U+16C7,"Выпадение скандинавской руны Эйваз свидетельствует о защите. У древних скандинавов так назывался тис, который оберегал воинов во время боя (его древесина шла на изготовление охотничьих и военных луков). Кроме того, знак символизирует Великое Древо.

Так как руна имеет симметричное изображение, она трактуется только в прямом положении. Обычно ее расшифровывают следующим образом: выбор верный, с целью все в порядке, ресурсов на ее достижение вполне достаточно. Прямо сейчас человек может сомневаться в своей победе, но со временем все встанет на свои места. Здесь не нужно ждать, что успех придет просто так, без ваших усилий. Вкладывать энергию, конечно, потребуется, и тут очень важно, чтобы она не растрачивалась попусту, а шла на решение задач. Об этом необходимо помнить все время. Будьте внимательны, если Эйваз выпадет вместе с перевернутой руной Одал.",
14,Перт ,Perþō,U+16C8,"Перт связана с тайной, неизведанным, скрытым. Она говорит о том, что человеку пока еще что-то неизвестно, но в определенный срок он все узнает. В раскладе этот символ указывает на поступление новой информации или обретение предмета, считавшегося утерянным. Другое значение этой скандинавской руны – стремление к овладению оккультными знаниями, открытие в себе способностей к магии и яснознанию, развитие интуиции. Причем здесь важно не только выявить эти способности, но и понять, в какой момент их потребуется применить в практических целях.","Перевернутое положение указывает на изменение обстоятельств, а развиваться ситуация будет не по плану. И пока нет возможности увидеть причину этого. В другом контексте перевернутая Перт может означать возможность неприятных сюрпризов, разочарований в близком человеке, неудачную попытку заняться магией."
15,Альгиз,Algiz,U+16C9,"Скандинавская руна Альгиз символизирует собой могущественную защиту. Речь идет о духовной связи и невидимом мосте от мира Богов к людям, по которому идет энергия, помогающая справляться с бедами. Эта энергия обладает большой мощью, поэтому руна часто изображалась скандинавскими воинами на щитах и боевых луках.

Символ советует следовать голосу интуиции и понимать, что в критический момент, когда перед человеком стоит трудный выбор, он должен слушать себя, чтобы определить, куда двигаться дальше. Руна защищает от физических опасностей. Например, в недалеком прошлом была неприятная ситуация, но гадающий благополучно избежал риска. Или это сигнал к тому, чтобы быть осторожнее сегодня и в ближайшем будущем.","Перевернутая позиция руны Альгиз показывает уязвимое положение спрашивающего или бессмысленность самопожертвования. Еще одна трактовка – возможно, человек находится в ситуации, когда либо он сам неправильно оценивает происходящее (обманывает себя) и рассчитывает на такой результат, которого не может быть, либо кто-то пытается обмануть его. Кроме того, может быть, что спрашивающему зачем-то приходится тратить много сил и времени на другого, но отдачу он не получает, эффект нулевой. Еще вероятно, что на гадающего пытаются вешать все промахи и ошибки, которых он не совершал. Кому-то просто нужен козел отпущения."
16,Совило,Sōwilō,U+16CA,"У Соуло есть только прямое положение. Толкование и значение этой одной из самых позитивных скандинавских рун просто наполнено триумфом. Знак указывает на стопроцентную победу, абсолютный успех. Если такой символ выпадает в гадании, это свидетельствует о преодолении любых трудностей и препятствий в короткое время и почти без усилий. Можно пояснить таким образом: сложности и сомнения непременно будут, но человек легко с ними справится.",
17,Тейваз,Tēwaz,U+16CF,"В этом символе скандинавского алфавита скрыт большой потенциал. Руна означает способность бороться за свои идеи, не обращая внимания на внешние обстоятельства. Человек может прийти к успеху, для этого имеются все шансы. Еще одно значение этого знака в том, что спрашивающий наделен здоровым духом соперничества. Внутренняя сила двигает его вперед лучше всякой мотивации.","В данном случае руна сигнализирует о том, что энергии на дело больше нет, стоит какой-то блок на пути ее выхода. Вероятно, план не до конца продуман, нет четкой структуры. Но не нужно думать, что все бесполезно. Поработайте над графиком, спокойно исправляйте ошибки, разложите все по полочкам, и тогда предприятие можно привести к успеху."
18,Беркана,Berkanan,U+16D2,"Значение символа Беркана связывают с плодородием и рождением. Он имеет сугубо женскую энергетику и ассоциируется с образом матери и семьи. В раскладе скандинавские руны выпадают в разных сочетаниях, и их значение нужно определять в соответствии с этими данными. Почти всегда Беркана обозначает заключение брака, создание нового семейного союза и рождение детей. Можно сказать, что последний смысл как раз и является традиционным. Когда человек мечтает о детях, и ему в сеансе гадания выпадает этот знак, особенно в союзе с Ингуз, можно смело говорить, что долгожданное событие не за горами.","В этом случае правильно толковать скандинавский знак Беркана в смысле возникновения разногласий, противоречий, поступления тревожных новостей. Его собственное значение не бывает негативным, и он не прогнозирует какие-либо фатальные проблемы. Но если рядом оказываются символы, несущие отрицательный смысл, то прогноз ухудшается. Однако нет ничего такого, что нельзя было бы изменить, исправить, переиграть."
19,Эваз,Ehwaz,U+16D6,"В прямом смысле Эваз значит «конь». Развивая этот образ, можно сказать, что требуются выносливость, скорость, стремление к цели, свободолюбие. Выпадение такого символа свидетельствует о переездах, путешествиях, смене места жительства, знакомстве с новыми людьми. Значит, нужно быть готовым к физическим перемещениям и всему тому, что с этим связано. Само собой, прямое положение руны – это позитивные перемены, все будет корректироваться в лучшую сторону. В некоторых раскладах Эваз может указывать на то, что хороший результат приходит, так как человек проявляет инициативу, работает, а не ждет удачного стечения обстоятельств.","У перевернутого положения скандинавской руны Эваз нет строго негативного толкования. Скажем так, немного понижается градус позитива. Речь по-прежнему будет идти о поездке, только она может быть немного скомканной, с разными неожиданностями, без должной подготовки. Если рядом в раскладе есть Лагуз, то путешествие может затянуться, сдвинутся сроки возвращения. В контексте про перемены в жизни можно сказать, что они произойдут очень резко."
20,Манназ,Mannaz,U+16D7,"В раскладах со скандинавскими рунами у Манназ роль зеркала, отражающего человеческие отношения и взаимосвязи. В ней заложена информация о связи с предками и Родом, об интеллекте, собственном «я» и достоинстве. Будут затронуты вопросы взаимовыручки, дружбы и сострадания к людям. Но как человеческие отношения не всегда выглядят радужно, так и руна имеет неоднозначное значение. Особенно если речь идет о связях между близкими людьми. Манназ призывает искать божественное в себе и окружающих, смотреть глубже, открывать сердечный центр. Человек живет не только в материальном мире, нужно попробовать увидеть Бога во всех проявлениях этого бытия.","Выпадение в скандинавском раскладе перевернутой руны Манназ говорит о нарушении планов, росте активности противников и о том, что человек не может сейчас рассчитывать на помощь друзей. Нужно приготовиться к тому, что придется находить решение вопросов самостоятельно. Если данная жизненная ситуация связана с какими-то документами, и при этом в раскладе перевернутая Манназ выпала в сочетании со знаком Йера, это говорит о том, что спрашивающему лучше посоветоваться с грамотным юристом. Еще один вариант толкования такой позиции – это наличие у гадающего внутренних проблем, которые мешают ему реализовывать свои планы."
21,Лагуз,Laguz,U+16DA,"Среди скандинавских рун Лагуз занимает особое положение. Она связана с интуицией, получением знаний из информационного поля. Подобное единение с Космосом есть у каждого человека, но не все обращают на это внимание, с недоверием относятся к пророческим снам или не принимают к сведению свои ощущения. Лагуз указывает на такие знаки, сны или случаи в жизни, которые помогут в дальнейшем избежать больших неприятностей. Соединение с руной Перт подсказывает спрашивающему, что он обладает экстрасенсорными способностями и что у него сильный Ангел-Хранитель.","Перевернутая руна Лагуз предрекает неприятности и возникновение сложностей, которые могут произойти, если человек действует спонтанно, необдуманно, по первому побуждению. Чувства чувствами, но ни в коем случае нельзя полагаться только на удачу. Гораздо разумнее, перед тем как начать какое-то дело, собрать необходимую информацию, проанализировать и составить план действий. Абсолютно точно можно сказать, что нельзя сидеть сложа руки, так как есть нерешенные проблемы, которые сами не исчезнут, а будут только разрастаться. Но сначала нужно продумать, с какой стороны приступить к данному вопросу."
22,Ингуз,Ingwaz,U+16DD,"У скандинавской руны Ингуз только прямая позиция, и она дает в основном положительные прогнозы. Приобрести негативный оттенок знак может в случае, когда расклад полностью неблагоприятный, т. е. рядом оказались другие символы с отрицательными характеристиками. К примеру, когда выпало сочетание Ингуз и перевернутой Ансуз, это значит, что вблизи спрашивающего крутится какой-то авантюрист или откровенный мошенник, которому пока удается маскировать свою истинную сущность.

Понятно, что доверчивость в такой ситуации может сильно повредить. Но обычно изображение Ингуз указывает на успех и получение реальных результатов в начатых делах, а также на необходимые ресурсы, которых у гадающего хватит для преодоления препятствий и трудностей, стоящих на его пути, создания команды и взятия нужного темпа.",
23,Дагаз,Dagaz,U+16DE,"Руну Дагаз всегда трактуют в положительном значении, тем более у нее отсутствует перевернутая позиция. Ее основной смысл – благополучие и прирост благосостояния. Причем нужно иметь в виду, что в понятие благосостояния входит не только материальная сторона жизни, но и отношения, стремление к саморазвитию и т. д. Все сферы бытия стремятся к гармоничному положению. Сочетание в скандинавском раскладе символов Райдо и Дагаз свидетельствует о возможностях проводить досуг более интересно и в хорошей компании. Если рядом есть Кеназ, то человек способен реализовать себя в творчестве.",
24,Отал,Ōþalan,U+16DF,"Отал в традиционной трактовке − это собственность. Можно сказать, что это стержневое понятие, к которому добавляется все остальное. В первую очередь, данная скандинавская руна имеет значение приобретения недвижимости (дома, квартиры, нежилых помещений), земельных участков и в целом всего, что можно купить в свое пользование. Второй момент: в раскладе может идти речь о наследстве и наследии. И здесь дело касается не только материальных вещей, но и духовных и нравственных устоев.

Всем нам необходимо помнить о своей связи с Родом, предками, сохранять традиционный уклад жизни. Если в сеансе гадания определяют характер спрашивающего, то информацию можно трактовать так: либо этот человек происходит из древнего знаменитого или славного рода (так называемая голубая кровь), либо это прагматичная личность, точно знающая свои цели, организатор и энергичный деятель, который приводит в порядок не только свою жизнь, но и жизнь окружающих людей. Об этом часто говорят, когда в скандинавском раскладе встречаются Отал и Наутиз.","Перевернутое положение скандинавской руны Отал символизирует ситуацию, когда человек торопится, перескакивает через этапы, нетерпелив в достижении цели. У него не хватает выдержки дождаться благоприятного момента, из-за своей спешки и непонимания настоящей ситуации он часто теряет то, что мог бы легко получить. Усилий и ресурсов может быть вложено много, но дело будет буксовать, и «воз» останется на месте. Если одновременно рядом присутствует Лагуз в перевернутой позиции, то тут нужно понимать, что спрашивающий полагался на интуицию и не учел многих деталей."
25,Один,Odin,,"Изображение Один – это знак судьбы, рока, кармы. В целом, понятия близки по смыслу: если говорят о судьбе, подразумевают, что человеку предназначено пройти через определенные этапы в жизни, изменить ее ход невозможно; рок символизирует, что иногда приходится смириться перед лицом происходящих событий, выражать сопротивление космической силе в форме обычных человеческих эмоций довольно глупо и бессмысленно; карму надо понимать как обязанность индивида отвечать за любые свои мысли, чувства и действия, а они могут быть хорошими или плохими.",
