id,name,orig_name,straight_position,inverted_position
16,Башня,The Tower,"Башня говорит о том, что в вашей жизни произошли или скоро будут очень сильные перемены. Скорее всего, эти самые перемены будут неожиданными, не всегда желанными. Может произойти либо взлёт, либо падение. Человек может с кем-нибудь поссориться, кого-то сильно возненавидеть, впасть в агрессию, оборвать связи, впутаться в какой-нибудь криминал. Жизнь очень круто поменяется, произойдет встряска.

Чаще всего люди, которые переживают такой период разрушения, начинают задавать вопрос - за что им всё это, и ждут ответа, однако не дождутся, потому что вопрос в корне неверный. Надо спрашивать - для чего было дано это потрясение.

На карте изображено разрушение, молнии бьют со всех сторон. Вмешаются высшие силы, к вам придет озарение. Так что если вы ощущаете себя так, будто сидите в болоте, то можете радоваться, потому что этот период уже заканчивается.","В перевернутом положении аркан говорит о том, что черная полоса подойдет к концу. Да, возможно несчастье будет угрожать, но вам каким-то образом удастся его избежать. Покажется, что совсем всё плохо, но неожиданно вас, как говорится, пронесет.

Иногда вы можете стараться, но разрушения будут и дальше происходить. Здесь рекомендуется уточнить вопрос, бывает, что он задан неверно."
17,Звезда,The Star,"Звезда показывает надежду, происходящие изменения к лучшему. Аркан символизирует восход солнца, но рассвет только-только наступает. Это означает, что у человека возникнут какие-либо новые идеи, которые он сумеет воплотить в жизнь. Он уверен, что вскоре наступит лучшее будущее, он мечтает, строит планы.

Может быть появится новый знакомый или новая любовь, имеющиеся разногласия будут преодолены, настанет взаимопонимание, таланты разовьются, на человека снизойдет озарение.

Аркан говорит о том, что наступила эпоха безмятежности, трудности остались позади, перспективы будут весьма многообещающими. Вам нужно подождать, но бездействие не должно быть напрасным. Ваше желание исполнится, а задуманное благополучно закончится. Не нужно ждать, что новая дорога откроется прямо сейчас, немедленно. Или прямо с небес посыпется манна (золото, доллары, портфель министра), однако перспектива вот-вот покажется за горизонтом.

Высшие силы готовы обратить на вас свой благосклонный взор, поэтому обязательно подадут вам какой-нибудь знак, показывающий вам новое направление вашего пути. Постарайтесь обратить внимание на тайные знаки. Это может быть слова или название из случайно услышанной песни, название журнала, статья в газете, объявление на фонарном столбе и другое.","Если у вас есть вопрос по поводу отношения, к вам какого-либо человека, то Звезда в перевернутом виде говорит о том, что надеяться на этого человека бесполезно и глупо. И может, небезопасно. Не нужно возлагать на этого человека надежды, потому что вы разочаруетесь. Он способен разрушить ваши планы, посмеяться над ними, присвоить плоды ваших трудов. Вы делали, старались, а он пришёл на все готовое, раз-два, и он в дамках, а вы остались ни при делах.

Также и самоуверенность может стать причиной потери, а надежды будут обречены на заведомый провал. Реализация вашего желания откладывается, но потому, что человек либо слишком сильно сомневается, либо слишком самоуверен."
18,Луна,The Moon,"Аркан свидетельствует о чем-то потаенном и бессознательном, когда речь идет о темных сторонах человека, о его тайнах. Карта может скрывать такую тайну, которая может вылиться опасностью. В жизни человека могут произойти неприятные моменты с проявлением эмоций (зависть, ревность). И пока не время испытывать себя на прочность, проявлять свою смелость.

Карта предостерегает человека от опасности, она советует ему – вести себя осторожно, отслеживая каждый свой шаг. А все потому что многие события, которые будут происходить не всегда будут подвластны человеку. Человек столкнется с непредсказуемостью. Информацию, которую он будет получать, окажется неполной, а все потому что человек сам отказывается смотреть правде в глаза. Есть опасность попасть в чью-то ловушку, не исключены внезапные перемены.

Человек столкнется с трудностями и препятствиями, только не сразу станет понятно насколько они серьезные. Очень легко оступиться и совершить ошибку. Если недавно все казалось понятным, то теперь темнота. Это как день и ночь. Днем мы видим одну картину, а ночью совершенно другие ощущения.","Нельзя сказать, что Луна несет какую-то угрозу, но тем не менее, карта характеризуется негативом и опасностью. По сути, перевернутую Луну можно назвать нашими страхами, опасениями и предчувствиями. В свою очередь, Луна может свидетельствовать о кошмарных снах. Если человеку приснится страшный сон, он может долго переживать по этому поводу и бояться того, что сновидение когда-нибудь станет реальностью.

Человек под воздействием Аркана, может запутаться в своих страхах, и чувствовать себя незащищенным. Кроме того, он боится порчи и колдунов, его пугают обстоятельства, связанные с мистикой, ограблением.Кстати, Луна указывает на тот факт, что не исключено – ночное ограбление.

Просматривается в обстоятельствах неясность, нестабильность, ложь. Человек отказывается принимать окружающих людей такими, какие они есть со всеми их качествами и слабостями. Он цепляется за привычную ему обусловленность, деловитость и рассудочность, особенно в момент смятения."
19,Солнце,The Sun,"Хорошая карта, которая рассказывает о светлой и солнечной полосе жизни. У человека наступает период, когда он чувствует себя счастливым и удачливым. Это может быть связано с рождением ребенкаили с другой ситуацией, где происходит что-то новое и позитивное. Человеку, которому выпадает этот аркан, является жизнелюбивой личностью, он уверен в собственном будущем. Любые трудности и разногласия ему даются легко, так как он умеет конкретно описывать ситуацию.

Аркан Солнце выделяет человека, который стремится к светлым, чистым и высоким идеалам. Он направленно идет к свету, преодолевая все темные стороны своей личности. И его, в действительности, ожидает большой успех во многих сферах деятельности.

Кроме того, у него прекрасно складываются дела на работе. Он достигает невероятных успехов и триумфа не только в карьере, но и в сугубо личных делах. И с эти арканом он может удачно вступить в брак, в котором будут царить: любовь, уважение, достаток, радость, успех.","Ожидаются препятствия на пути человека, которые противостоят его счастью и успеху. Возможно, он способен достигнуть своих целей, но нельзя этот путь назвать безоблачным. Все, чего он добьется – это сложная дорога с результатом больших усилий и преодолением трудностей. Если в прямом положении Солнце просто одаривает человека счастьем и большим успехом, то в перевернутом виде – нужно многого добиваться, благодаря своему трудолюбию и стараниям.

Аркан вроде имеет то же самое значение, что и в прямом положении, только радость от происходящего человек получает в меньшей степени. Победа, к которой он будет стремиться, отнимет у него много сил. Его успехи в карьере – незначительные, да и материальный достаток нельзя назвать весомым. И даже если он добивается своего успеха, дается ему это далеко не просто, ведь свою радость он получает с небольшим привкусом огорчения.

Солнце, как ни странно, не может нести негативный смысл. Просто все, что происходит в жизни человека – не имеет таких ярких красок, успехов, достижений."
20,Суд,Judgement,"В целом значение карты скорее положительное. Суд свидетельствует о совершающейся или предстоящей трансформации личности – появлении новых целей или открытии новых способностей. При этом Суд указывает на то, что на этом пути придется освободиться от каких-то старых стереотипов, привязанностей, привычек, что сейчас только тормозят движение к цели.

Естественно, все это получится не без усилий. Суд говорит, что человек должен быть готов к трудностям и неприятностям и ему придется потратить немало энергии, чтобы достичь желаемого, но цель является достижимой. Все проблемы имеют временный характер и при наличии упорства и целеустремленности будут преодолены.

В некоторых случаях прямой Суд может говорить даже о том, что намеченная цель уже достигнута, хоть это пока не очевидно. Карта может намекать и на окончание «черной полосы» в жизни, переход в новый, более благоприятный этап.","Обычно такое положение карты говорит о нежелании человека принимать изменения в жизни. Перевернутый Суд свидетельствует о том, что движение к цели замедлилось или вовсе остановилось, что имеются некие внешние или внутренние факторы, что не дают человеку развиваться, оставляют его в стагнации.

Перевернутый Суд может указать и на некоторые причины застоя. Так, он может говорить о том, что человек переоценил собственные силы и взялся решать слишком сложную для него задачу, или же что он полагается на то, что положение исправится само собой. Нередко перевернутый Суд говорит о том, что в своих суждениях человек пользуется неверными представлениями, что его идеалы искажены.

При этом карта настоятельно рекомендует принимать требуемое решение как можно быстрее. Медлительность только увеличит количество возможных трудностей."
21,Мир,The World,"Аркан является воплощением удачи и удовлетворенности. Человек под воздействием Мира, будет испытывать чувство радости и гармонии. Он с удовольствием будет не только отдыхать, но и выполнять работу. Карта Мир уже говорит за себя о том, что человек должен примириться с окружающим миром. Аркан наполнен положительной энергией, человек как будто обретает личный рай, достигает долгожданной и вожделенной цели. Кроме того, Мир может свидетельствовать о том, что завершился определенный жизненный цикл или что-то реализовалось.

С Картой Мир человек ощутит полную победу даже в самых трудных и рискованных ситуациях. Не исключено – получение прибыли, наследства. Все проблемы будут разрешимыми, хорошие люди потянутся, а плохие неким образом отпадут, восстановится здоровье.

Удача в судьбе будет появляться сама собой, даже не нужно прикладывать для этого максимальные усилия. Он достигнет всего, о чем только мог мечтать. Он испытает удовлетворение от того, что пазл сложился в единую картинку.","Перевернутый Аркан можно растолковать, как бездействие, подчинение человека, который с пассивным настроем ожидает от судьбы положительных сдвигов. Под воздействием этого Аркана он вряд ли добьется своей цели, так как привык плыть по течению. Как правило, эта карта выпадает ленивым натурам.

В большинстве случаев, человек с этой картой получает справедливую расплату за свои неверные действия и суждения. И даже если хороший результат его труда уже был у него в руках, наступает время отсрочки. Он может испытывать состояние апатии, депрессии, разочарования, а его настойчивость и вовсе не принесет желаемых результатов.

Перевернутая карта указывает на то, чтобы человек натолкнулся на мысль, что успех не приходит просто так, необходимо чем-то поступиться или пожертвовать. В кругу людей, с которыми человек общается, могут оказаться недоброжелатели, и они создадут ему немало неприятностей."
22,Король Жезлов,King of Wands,"Когда выпал Король Жезлов, он говорит о том, что гадающий человек – лидер, способный повести за собой массы, обладающий даром убеждения. Эта карта символизирует покровителя. Такой человек проявляет завидное упорство в достижении своих целей.

Он силён, мудр, смел. Умеет уважительно относиться к чужому мнению. Старается оказывать помощь людям. Его щедрость не знает границ. Карта – знак успеха в различных сферах жизни. Она сулит знакомства с интересными людьми. Скучная однообразная работа – это временное явление. Нужно настроиться на перемены. Они будут неожиданными и с «сюрпризами».

Если гадает мужчина, то его соперник – честный и щедрый друг.

Если гадает женщина – её ждёт встреча с влиятельным родственником (или знакомым), от которого зависит реализация планов, или финансовые поступления.","Перевёрнутая карта сигнализирует о непорядочности гадающего, о его «отрицательных сторонах», которые, в последнее время, стали всё сильнее проявляться. Это человек – тиран и самодур. Свои идеи реализует, используя других людей, а способы для этого выбирает непорядочные. Он мстителен, способен нарушить закон, проявив, при этом, неимоверную жестокость.

Скорее всего, ему предстоит выслушать о себе нелицеприятные отзывы. Возможно получение неприятных новостей. Гадающий человек – это властная, жестокая личность. Его поведение в отношении других людей адекватным вряд ли можно назвать.

Может быть, стоит обратить внимание на то, что называется духовным ростом, и стать более лояльным в отношениях с окружающими? Строгость во всём не всегда уместна, а близкие люди страдают больше всего от проявления отрицательных черт характера человека, которому гадают."
23,Королева Жезлов,Queen of Wands,"Аркан представлен в виде опытной, зрелой и практичной женщины, которая состоялась в жизни. Нередко ее еще называют магнетической личностью, волевой и импозантной. Тому, кому выпадает этот Аркан, уверенный в себе, активный, инициативный, независимый, открытый и харизматичный человек. Он быстро и решительно принимает решение, но ему все равно требуется поддержка со стороны. Он отличается высоким профессионализмом, поэтому способен преодолевать препятствия, бросая вызов судьбе.

Благодаря своей гордости и честолюбию его претензии на лидерство весьма актуальны. Он самостоятельный и независимый, успешный и амбициозный.

Карта Королева Жезлов является самодостаточной. Здесь описывается ее привлекательность, открытость и доброжелательность, а значит, человек может рассчитывать на ее поддержку в своих начинаниях, у него могут появиться союзники и вдохновители. Но другое значение карты гласит о том, что перед вами появится яркий соперник, которому сложно будет доказывать свои преимущества.","Перевернутая Королева Жезлов выражается в импульсивном и чрезмерно независимом характере человека. Часто ему попросту не хватает опыта, он недооценивает сложность проблем, с которыми сталкивается. Под воздействием Аркана он становится жестоким и властным, ему свойственно проявлять высокомерие по отношению к людям. Кроме того, он не желает помогать окружающим, отказывается делиться своим опытом, не хочет делать людям добро.

Такой человек способен даже на вероломный поступок. И такого врага стоит опасаться, потому что его поступки основаны не на эмоциях (Королева Жезлов - отходчивая и незлопамятная личность), а на логическом мышлении.

Человек с этой картой – ревнивый, эгоистичный и высокомерный, в его поведении просматриваются: и гнев, и месть, и отчаяние. И если прямое положение карты свидетельствовало о дружелюбие, то в перевернутом положении – возникают ссоры с друзьями. В свою очередь, у нее появляются разногласия в семье и неуспехи в делах."
24,Рыцарь Жезлов,Knight of Wands,"В том случае, если выпал Рыцарь Жезлов в прямом положении, карта символизирует человека – борца. Он всегда готов отстаивать свои интересы, не боясь сопутствующих проблем и козней конкурентов. В то же время, он – романтик, ему в жизни всё интересно. Любит споры и соревнования. Он долго не думает, а предпочитает активно и с энтузиазмом действовать для того, чтобы его цели были достигнуты. Не боится рисковать.

Гадающий создаёт вокруг себя суету. Он хочет видеть немедленный результат своей работы. Ожидания и размышления – не для него. Обычно, эти люди любят заниматься бизнесом, спортом. Часто путешествуют. Окружающим с ними легко. Обладая чувством юмора и легко реагируя на неприятности, они открыты для новых идей. Они щедры, импульсивны. Среди них много руководителей и профсоюзных лидеров. Все они сильны, азартны, активны.","Рыцарь Жезлов в перевернутом виде предупреждает о ненужных рисках. Карта говорит о таких чертах характера гадающего, как: легкомыслие, безрассудство, склонность к сомнительным авантюрам, чрезмерная спешка, ревность, подозрительность.

То, что возникли неудачи, не случайно. В этом никто не виноват. Человек сам, своими необдуманными поступками их спровоцировал. Карта советует взглянуть на себя со стороны и пересмотреть жизненные цели в корне, иначе неприятности только усугубятся. Данный человек склонен ко лжи. Может так случиться, что обманут и его. Об этом надо подумать."
25,Паж Жезлов,Page of Wands,"Чаще всего Паж Жезлов трактуется как некий человек (молодой, светловолосый и светлоглазый), что вскоре появится в жизни гадающего. Это может быть и девушка, и юноша. По знаку Зодиака это будет представитель огненной стихии: Овен, Лев или Стрелец.

Карта также может означать получение интересного и выгодного предложения, такого, что просто грех отказываться. Она означает и определенный настрой, состояние душа: подъем, энтузиазм, энергию (все, что свойственно здоровой молодости).

Еще Паж Жезлов может говорить о наличии любопытства, но конструктивного, приводящего к знаниям и личностному росту. Это может быть свидетельством и о перспективе риска, но конструктивного, приводящего к положительному результату и доставляющего удовольствие.","Перевернутый Паж Жезлов говорит о лишнем интересе к риску, сомнительным предприятиям. Он может характеризовать человека, склонного рисовать без причины, амбициозного, хвастливого, самоуверенного, но неумелого и неопытного.

Также эта карта в перевернутом положении говорит о пришедших с опозданием важных новостях, неумении начать действовать сразу, оценивать значение и далеко идущие результаты своих поступков.

Аркан может говорить об упрямстве, желании настоять на своем вопреки здравому смыслу. Эта карта имеет и насмешливый смысл – может указывать на то, что гадающий попадет в комическую ситуацию. Помимо всего прочего, аркан может говорить о склонности к неоправданному риску, авантюризму."
26,Десятка Жезлов,Ten of Wands,"Значение карты - благоприятное. Оно обозначает удачу, процветание, финансовую выгоду. Но человек, на которого делают расклад, слишком уж усердно трудится, не замечая ничего вокруг себя. Вот почему все его достижения могут не принести ему морального удовлетворения, а в душе будет только пустота.

Человек - трудоголик (как подсказывает карта), взвалил на свои плечи огромный груз обязательств. Это касается различных сфер жизни. Как навьюченная лошадь, он старается изо всех сил, но слишком много хлопот и проблем приходится решать.

Если продолжать работать в таком ритме, то провал неминуем. Обычно Десятка жезлов выпадает предпринимателям, которые работают круглосуточно в сумасшедшем темпе, а остановиться не в силах. В их головах только одно: работа, работа, работа.

Гадающий нуждается в отдыхе, мудром совете, изменении жизненных ценностей. Карта может обозначать тревогу и душевную пустоту.","В данном виде карта характеризует человека, как скрытную, необщительную личность. Гадающий слишком хочет контролировать других людей. Он надеется в жизни только на себя. Не желает слушать ничьих советов, отказывается от помощи. Он очень одинок и страдает от этого, но изменять своим принципам не намерен.

Ему кажется, что его труд по достоинству никто не ценит. Этот человек чувствует себя несчастным, но делиться своими чувствами ни с кем не намерен. Карта указывает также на то, что человек достигает своих целей, применяя непорядочные методы. Если предстоит устройство на новое место работы, нужно быть готовым к сложностям с выполнением новых профессиональных обязанностей."
27,Девятка Жезлов,Nine of Wands,"Основные трактовки карты: чувство опасности, успех в нелёгкой борьбе, готовность к отстаиванию своих интересов, возможные страхи и опасения перед неизвестным будущим, ощущение приближающегося успеха.

Гадающий совсем недавно пережил непростые времена. Ему пришлось добиваться своих целей нелёгким упорным трудом. Проблем и сложностей возникало предостаточно, но он выдержал их стойко. Жизненные трудности закалили его настолько, что он теперь не боится ничего. Он любит умственные и физические нагрузки, не боится тяжёлой работы. Этот человек очень любопытен, и путешествия в его жизни играют немаловажную роль.","Карта указывает на такие черты характера гадающего: подозрительность, упрямство, недружелюбный настрой, безынициативность, эгоизм. Этот человек очень часто неправильно трактует высказывания окружающих, из-за чего возникают ссоры и конфликтные ситуации. Он не умеет общаться, поэтому и одинок.

Обычно, карта выпадает тем людям, кто находится в меньшинстве. Их в обществе недолюбливают из-за скрытности. Им мешает достигать целей комплекс неполноценности."
28,Восьмерка Жезлов,Eight of Wands,"Аркан подразумевает вдохновение и озарение, когда человека будут ожидать события благоприятного характера. У него все получается, он быстро и правильно принимает решение. Под воздействием этой карты, он просто хватает свою удачу за хвост. Следует ожидать от жизни много интересных и незабываемых событий.

Карта свидетельствует о несомненном продвижении к цели. И даже если человек не замечает процесс перемен и скачков вперед, тем не менее, это время для него уже наступило. При раскладе Восьмерки Жезлов что-то будет меняться в жизни, что-то будет носиться в воздухе. Многие события произойдут намного раньше, чем человек будет этого ожидать.

Каждый человек рано или поздно ждет подарков от судьбы, многие надеются на положительный расклад в жизни. Но с появлением этого Аркана, можно не только рассчитывать на сюрпризы судьбы, но и на их быстрое осуществление. Удача будет так близко, что даже застанет человека врасплох.","Под воздействием Восьмерки Жезлов, человеку стоит ожидать неожиданных помех на своем пути. И чтобы преодолеть эти препятствия, он будет принимать быстрые и поспешные решения. Опрометчивые поступки могут плохо сказаться на его судьбе. А ведь во многих вопросах не нужно суетиться и спешить, это совершенно бессмысленно.

Из-за неправильного поведения он может упустить возможность, которая уже почти что, была в его руках. Может произойти так, что человек «доиграется», а в итоге получит большие неприятности, которые будут связаны с судебными процессами.

С перевернутой картой необходимо промедление и оттягивание решений, пока не время предпринимать действия. Все усилия, которые человек будет прилагать для того, чтобы добиться своих целей, будут потрачены впустую."
29,Семерка Жезлов,Seven of Wands,"Семерка жезлов – неоднозначный аркан, связанный с риском, борьбой, бескомпромиссностью, некоторыми ограничениями. Правда все эти действия будут направлены на достижение цели. Человек будет оперативно прилагать свои усилия, ему свойственно добиваться успеха в одиночку, без чьей-либо помощи.

Карта говорит о необходимости перемен, либо о корректировке происходящей ситуации. Все, что будет происходить в жизни человека, станет важным и внесет перспективу в дальнейший ход его дел, несмотря на то, что карта сложная и непредсказуемая. Человек готов защищать свои жизненные принципы и идеи.

В принципе, карта имеет положительное значение, несмотря на то, что присутствуют столкновения с неблагоприятными обстоятельствами (например, недоброжелатели). Возможно, она не наградит человека безоблачным благоденствием, зато сулит успех в борьбе, который будет достигнут благодаря смелости и решительности.","Под воздействием семерки жезлов, человеку не будет хватать мужества, он утратит хорошие возможности. Он просто уйдет в тень в тот момент, когда необходимо бороться и добиваться своих целей. Он не захочет слушать окружающих людей (партнеров, друзей, родственников) и принимать от них помощь.

Даже достигнутые цели, человек под воздействием Аркана не сумеет отстоять. Его ожидают денежные потери и потери возможностей из-за собственной неуверенности, некомпетентности, сомнительности, растерянности, подозрительности. Он легкомысленный и беззаботный, не способен сопротивляться другим людям, не умеет выбирать правильную стратегию и расставлять приоритеты.

Человеку, которому выпала эта карта, свидетельствует о том, что он сбился с пути, потерял верное направление и почву под ногами. Возможно, под воздействием карты, у него не все складывается в делах, именно поэтому он думает, что у него нет оснований вести себя уверенно и твердо."
30,Шестерка Жезлов,Six of Wands,"Шестерка жезлов – благоприятный аркан. В общем раскладе является символом победы, завершения всех поставленных задач, даже самых трудных. Человек, который делает расклад, может стать известным или получить народное признание за достойные заслуги, потому что основной смысл карты – обнародование победы.

Гадающий обязательно примет мудрые решения в сложнейших вопросах, ведь он уверен в себе, своем влиянии на окружающих. Полный настрой на успех из-за полезных качеств, таких как ответственность и исполнительность.

Любое дело в руках этого мастера не останется в середине пути, оно дойдет до конца. В повседневной жизни все может быть и не очень помпезно и торжественно.

Карта возникает в раскладе в прямом положении, если на днях будет приятная новость, знакомство, которое поможет в разрешении задачи. Шестерка жезлов – знак успешного завершения дел. Однако Аркан говорит не о том успехе, который появляется из воздуха, посланный судьбой, а о справедливо заслуженном собственными трудами.","Выпадающая в раскладе Шестерка Жезлов в перевернутом виде, несет в себе значение отсрочки результатов, возникновение трудностей на пути к достижению цели.

Указывает карта и на то, что в обыденной жизни человек сможет показать себя с негативной стороны, показав самые плохие качества, непорядочность, чем заслужит плохую репутацию, создаст новые проблемы, которые помешают решению основной задачи.

Аркан является предостережением для человека, который должен приготовиться отразить удары судьбы, чтобы остаться на плаву и дойти до собственного успеха."
